Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Leichter Schlaf – Dauer (ms),Tiefer Schlaf – Dauer (ms),Wachphase beim Schlafen – Dauer (ms)
2015-04-03,,,,,,47.30427551269531,7.877542972564697,47.305091857910156,7.880284786224365,,,,225,,,,,86340818,,,,,
2015-04-04,,,,,,47.304283142089844,7.87941837310791,47.30437469482422,7.879992961883545,,,,,,,,,86400000,,,,,
2015-04-05,,,,,,47.26277160644531,7.7801361083984375,47.32059097290039,7.908388137817383,,,,144,,,,,83602664,111960,,,,
2015-04-06,,,,,,47.30428695678711,7.87816858291626,47.30533981323242,7.88040018081665,,,,682,,,,,86311908,88092,,,,
2015-04-07,,679.0,,,,46.9472541809082,7.434858322143555,47.30646896362305,7.881054878234863,,,,4180,,,,,78866925,2078168,,,,
2015-04-08,,918.0,,,,46.9472541809082,7.4348464012146,47.31354522705078,7.934818267822266,,,,5438,,,,,76813702,2893762,,,,
2015-04-09,,2039.0,,,,46.9471435546875,7.434852123260498,47.30662536621094,7.880555629730225,,,,5113,,,,,78336151,2722134,,,,
2015-04-10,,1081.0,,,,46.94729232788086,7.434848308563232,47.47626876831055,8.17238712310791,,,,5593,,,,,76671029,2558142,,,,
2015-04-11,,,,,,47.4734992980957,8.026310920715332,47.50381088256836,8.085328102111816,,,,1124,,,,,83245657,260442,,,,
2015-04-12,,,,,,47.30430603027344,7.879114151000977,47.47688674926758,8.198118209838867,,,,697,,,,,84093173,63624,,,,
